Artist_Album,Label,Country,Format,Notes,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Red Garland – Red In Bluesville,"Prestige – PRLP 7157, Prestige – 7157",US,"Vinyl, LP, Album, Mono","First cat.nr. on labels, second on cover.

'Fireworks' labels with Bergenfield, N.J. address.","Jazz, Blues",1959,Hard Bop,"Rated 4.67 of 12 votes (153 have, 138 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,"Abbey Record Manufacturing Co., Inc.",$600.00
Various – Summer Jazz In Tokyo,"Canyon – CAJ-1002, 1003",Japan,"2 × Vinyl, LP, Album, Gatefold","Recorded live on 28-29 August 1970 at Hibiya Park, Tokyo",Jazz,Nov 1970,"Free Jazz, Hard Bop, Post Bop, Modal","Rated 5.00 of 3 votes (7 have, 91 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$850.99
Freddie Hubbard – Hub-Tones,Blue Note – BST 84115,US,"Vinyl, LP, Album, Stereo","Recorded on October 10, 1962.
First release has Blue Note Records Inc. New York USA on labels, a laminated front cover with 43West 61st St., New York 23 address on back cover, and ""ear"" symbol is stamped in the runout grooves.",Jazz,1962,Hard Bop,"Rated 4.92 of 12 votes (75 have, 310 want)",Very Good (VG),Sleeve: Good (G),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$2,225.00"
Joe Henderson – Page One,Blue Note – BLP 4140,US,"Vinyl, LP, Album, Mono","Genuine, true first mono pressings can be determined by the following details:

NEW YORK USA address on both labels
The label paper has no 'deep groove' stamped in it on either side
Address at bottom of back cover reads '43 West 61st St., New York 23'
Deadwax area carries the Plastylite ""ear"" (aka the pretzel shaped hand etched ""P"") [pressing plant]
Deadwax area carries the VAN GELDER stamp; the cat.nr. is hand etched
Front cover is laminated [see image section for all these details]

Versions that do not carry the Plastylite ""ear"" (aka the pretzel shaped, etched ""P"") are all reissues, released after Liberty Records bought the Blue Note label and are not first pressings. These and the above details courtesy of the ""Blue Note Records Guide For Identifying Original Pressings"", written by Frederick Cohen from Jazz Record Center, New York.

McCoy Tyner performs by courtesy of Impulse Records.

Recorded on June 3, 1963.",Jazz,1963,Hard Bop,"Rated 4.61 of 33 votes (142 have, 738 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,000.00"
John Coltrane – Giant Steps,Atlantic – 1311,US,"Vinyl, LP, Album, Mono, Non-Deep Groove","Non-deep-groove, first pressing.
Black label with silver lettering.
Small pressing ring around spindle hole.

""Long Playing Unbreakable""",Jazz,Jan 1960,Hard Bop,"Rated 4.67 of 3 votes (38 have, 467 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),nan,nan,nan,$850.00
John Coltrane – A Love Supreme,Impulse! – AS-77,US,"Vinyl, LP, Album, Stereo, Gatefold","Stereo LP housed in a mono cover with stereo sticker (gold with black text) on the front cover.

""VAN GELDER"" and ""STEREO"" machine stamped in the dead wax. ""A product of ABC-Paramount Records, Inc."" printed on the labels.",Jazz,1965,"Free Jazz, Hard Bop, Modal","Rated 4.67 of 12 votes (53 have, 375 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$700.00
Dizzy Reece – Star Bright,Blue Note – BLP 4023,US,"Vinyl, LP, Album, Mono","Recorded on November 19, 1959.

Wynton Kelly and Paul Chambers performs by courtesy of Vee-Jay Records.
""RVG""-stamp in deadwax.",Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,200.00"
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono","This pressing has:
- W 63 street address and no ® and microgroove on the labels
- Deep groove on both sides.
- no Inc. in address on back cover.
-""P"", for Plastylite Recording plant etched.
- RVG stamped in the trail off, both sides.
- Address in back cover should be printed with Serif font as it is considered the first printing. (Fred Cohen's ""A guide for Identifying Original Pressings"" p105)

Miles Davis performs by courtesy of Columbia Records.
Hank Jones performs by courtesy of Capitol Records.
Recorded on March 9, 1958.",Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1087 have, 1718 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,nan,Plastylite,$677.77
The Dave Bailey Sextet – Bash!,Jazz Line (2) – JAZ-33-01,US,"Vinyl, LP, Album","Recorded at Peter Ind Studio, New York City, 4th October 1961.",Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (40 have, 133 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,Peter Ind Studio,nan,$895.00
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRESTIGE 3,US,"Vinyl, LP, 16 ⅔ RPM, Compilation","A1, B5: first released as Prestige PRLP 200 'Miles Davis All Stars, Vol. 2' (1955); A3, A4, B3, B4: first released as Prestige PRLP 187 'Miles Davis Quintet Featuring Sonny Rollins' (1954); A5, B6: first released as Prestige PRLP 196 'Miles Davis All Stars, Vol. 1' (1955); B1, B2: first released here and as part of Prestige PRLP 7109 'Bags Groove' (1957); A2: first released here.

Recorded at Rudy Van Gelder Studio, Hackensack, NJ, June 29, 1954 (A3, A4, B2 to B4) and December 24, 1954 (A1, A2, A5, B1, B5, B6) [jazzdisco.org].

First catalogue number on label, second and third on cover.",Jazz,1957,"Cool Jazz, Hard Bop","Rated 4.50 of 6 votes (24 have, 124 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.","$1,200.00"
Miles Davis Sextet* – Someday My Prince Will Come,Columbia – CS 8456,US,"Vinyl, LP, Album, Stereo","Early pressing variant released on a '6-eye' label.

The text layout used on the labels is different on this version.
The title appears in three lines instead of two.

Has the number ""4"" printed in the lower right corner of the back sleeve.
This is a printing plant code. The exact identity of this plant is unknown.",Jazz,1961,Hard Bop,"Rated 4.42 of 57 votes (655 have, 268 want)",Mint (M),Sleeve: Mint (M),100.0%,nan,nan,$600.00
Hank Mobley – Mobley's Message,Prestige – PRLP 7061,US,"Vinyl, LP, Album","Recorded July 20, 1956.",Jazz,1956,Hard Bop,"Rated 4.50 of 14 votes (70 have, 373 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.","$1,500.00"
Kenny Dorham – Whistle Stop,Blue Note – BLP 4063,US,"Vinyl, LP, Album, Mono","Paul Chambers performs by courtesy of Vee-Jay Records, Philly Joe Jones performs by courtesy of Atlantic Recording Corp.

Recorded on January 15, 1961.",Jazz,1961,Hard Bop,"Rated 4.56 of 16 votes (126 have, 341 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,250.00"
Curtis Fuller – The Opener,Blue Note – BLP 1567,US,"Vinyl, LP, Album, Mono","Recorded on June 16, 1957.",Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 385 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,400.00"
Freddie Hubbard – Goin' Up,Blue Note – BLP 4056,US,"Vinyl, LP, Album, Mono","Recorded on November 6, 1960.

Paul Chambers performs by courtesy of Vee-Jay Records, Philly Joe Jones performs by courtesy of Atlantic Recording Corp.

This 1st mono pressing:

- Deep groove on both sides.
- 47 west 63rd address on both labels.
- Labels have INC. and ®.
- Plastylite ""ear"" mark on run out on both sides, RVG stamped.
- Laminated cover.
- Address on back cover is: Blue Note Records Inc., 43 West 61st St., New York 23.",Jazz,1961,Hard Bop,"Rated 4.56 of 18 votes (104 have, 356 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$999.99
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono","This pressing has:
- W 63 street address and no ® and microgroove on the labels
- Deep groove on both sides.
- no Inc. in address on back cover.
-""P"", for Plastylite Recording plant etched.
- RVG stamped in the trail off, both sides.
- Address in back cover should be printed with Serif font as it is considered the first printing. (Fred Cohen's ""A guide for Identifying Original Pressings"" p105)

Miles Davis performs by courtesy of Columbia Records.
Hank Jones performs by courtesy of Capitol Records.
Recorded on March 9, 1958.",Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1087 have, 1718 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,Plastylite,$645.62
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,"Blue Note – 4003, Blue Note – BLP 4003",US,"Vinyl, LP, Album, Mono","Recorded on October 30, 1958.
Blue Note Records Inc. 47 West 63rd NYC

This 1st original mono issue:
- Deep groove labels with 47 West 63rd St. address
- No INC. and no ® under the E of 'Blue Note'
- Laminated front cover
- No INC. on the back
- 'Blue Note Records Inc.' is set in a serif font
- In the dead wax: the ""ear"" or ""P"" symbol for Plastylite must be hand-etched, and RVG is stamped

-----

Note for 2nd pressing:
- Labels are exactly the same as 1st pressing
- Back cover does have INC. and 'Blue Note Records Inc.' is set in a bold, sans serif font",Jazz,Nov 1958,Hard Bop,"Rated 4.60 of 156 votes (878 have, 1921 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$799.99
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono","This pressing has:
- W 63 street address and no ® and microgroove on the labels
- Deep groove on both sides.
- no Inc. in address on back cover.
-""P"", for Plastylite Recording plant etched.
- RVG stamped in the trail off, both sides.
- Address in back cover should be printed with Serif font as it is considered the first printing. (Fred Cohen's ""A guide for Identifying Original Pressings"" p105)

Miles Davis performs by courtesy of Columbia Records.
Hank Jones performs by courtesy of Capitol Records.
Recorded on March 9, 1958.",Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1087 have, 1718 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,Plastylite,$800.00
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Blue Note – BLP 4003,US,"Vinyl, LP, Album, Repress, Mono, NY USA Pressing","Recorded on October 30, 1958.
Labels read: Blue Note Records Inc. - New York USA. RVG is (stamped) in runout and 'ear' symbol is present.
Back cover reads Blue Note records Inc., 43 West 61st St., New York 23.

There is another version with the same 'NY USA' label on side A, but a '47 West 63rd St.' label on side B.

This version was likely released between 1962 and 1966.",Jazz,1962,Hard Bop,"Rated 4.84 of 19 votes (133 have, 326 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$985.00
Sonny Rollins – Way Out West,Contemporary Records – M3530,US,"Vinyl, LP, Mono, Reissue","Deep grooved Yellow label with Black text

Front cover reads “M 3530”
Label reads “C 3530”

Black border around text on back cover

Recorded at Contemporary's studio in Los Angeles March 7, 1957. Liner notes dated June 6, 1957.",Jazz,1959,Hard Bop,"Rated 4.82 of 11 votes (76 have, 172 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,Contemporary's Studio,nan,"$1,000.00"
Jackie McLean – Right Now!,Blue Note – BLP 4215,US,"Vinyl, LP, Album, Mono","Recorded on January 29, 1965.

First pressing has VAN GELDER stamped into runout on both sides, and New York USA address on labels.
No Plastylite 'P' (also known as 'ear'), as it was released out of sequence, and pressed by All Disc, NJ, where all Blue Note releases were pressed following its sale to Liberty in May 1966.",Jazz,1966,Hard Bop,"Rated 4.45 of 22 votes (122 have, 246 want)",Mint (M),Sleeve: Near Mint (NM or M-),99.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,100.00"
Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman – Mal-1,Prestige – PRLP 7090,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; November 9, 1956.

First pressing: W. 50th Street, N.Y.C. version.",Jazz,May 1957,Hard Bop,"Rated 4.67 of 12 votes (53 have, 204 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,200.00"
"Coleman Hawkins With Eddie ""Lockjaw"" Davis – Night Hawk",Prestige Swingville – SVLP 2016,US,"Vinyl, LP, Album, Mono","Recorded in Englewood Cliffs, NJ; December 30, 1960.",Jazz,1961,Hard Bop,"Rated 4.31 of 13 votes (72 have, 95 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$666.00
Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman – Mal-1,Prestige – PRLP 7090,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; November 9, 1956.

First pressing: W. 50th Street, N.Y.C. version.",Jazz,May 1957,Hard Bop,"Rated 4.67 of 12 votes (53 have, 204 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$795.00
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRESTIGE 3,US,"Vinyl, LP, 16 ⅔ RPM, Compilation","A1, B5: first released as Prestige PRLP 200 'Miles Davis All Stars, Vol. 2' (1955); A3, A4, B3, B4: first released as Prestige PRLP 187 'Miles Davis Quintet Featuring Sonny Rollins' (1954); A5, B6: first released as Prestige PRLP 196 'Miles Davis All Stars, Vol. 1' (1955); B1, B2: first released here and as part of Prestige PRLP 7109 'Bags Groove' (1957); A2: first released here.

Recorded at Rudy Van Gelder Studio, Hackensack, NJ, June 29, 1954 (A3, A4, B2 to B4) and December 24, 1954 (A1, A2, A5, B1, B5, B6) [jazzdisco.org].

First catalogue number on label, second and third on cover.",Jazz,1957,"Cool Jazz, Hard Bop","Rated 4.50 of 6 votes (24 have, 124 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.","$1,623.89"
Tina Brooks – True Blue,Blue Note – BLP 4041,US,"Vinyl, LP, Album, Mono","Sam Jones performs courtesy of Riverside Recordings.

Recorded on June 25, 1960.

RVG",Jazz,1960,Hard Bop,"Rated 4.58 of 33 votes (91 have, 684 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$5,000.00"
Joe Henderson – Page One,Blue Note – BLP 4140,US,"Vinyl, LP, Album, Mono","Genuine, true first mono pressings can be determined by the following details:

NEW YORK USA address on both labels
The label paper has no 'deep groove' stamped in it on either side
Address at bottom of back cover reads '43 West 61st St., New York 23'
Deadwax area carries the Plastylite ""ear"" (aka the pretzel shaped hand etched ""P"") [pressing plant]
Deadwax area carries the VAN GELDER stamp; the cat.nr. is hand etched
Front cover is laminated [see image section for all these details]

Versions that do not carry the Plastylite ""ear"" (aka the pretzel shaped, etched ""P"") are all reissues, released after Liberty Records bought the Blue Note label and are not first pressings. These and the above details courtesy of the ""Blue Note Records Guide For Identifying Original Pressings"", written by Frederick Cohen from Jazz Record Center, New York.

McCoy Tyner performs by courtesy of Impulse Records.

Recorded on June 3, 1963.",Jazz,1963,Hard Bop,"Rated 4.61 of 33 votes (142 have, 738 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,500.00"
Donald Byrd – Byrd In Flight,Blue Note – BLP 4048,US,"Vinyl, LP, Album, Mono","Recorded January 17-25, July 10, 1960.
Blue Note Records Inc. 47 West 63rd NYC on Label",Jazz,1960,"Hard Bop, Latin Jazz","Rated 4.50 of 28 votes (143 have, 554 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.6%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,050.00"
The Dave Bailey Sextet – Bash!,Jazz Line (2) – JAZ-33-01,US,"Vinyl, LP, Album","Recorded at Peter Ind Studio, New York City, 4th October 1961.",Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (40 have, 133 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,Peter Ind Studio,nan,$849.99
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Blue Note – BST 4003,US,"Vinyl, LP, Album, Stereo","Recorded on October 30, 1958.
Blue Note Records Inc. 47 West 63rd NYC

Note for collectors: the 1st original pressing has 47 West 63rd St. address on labels with INC. and (R) for trade mark under the E on deep grooved labels.
The cover has a gold Stereo sticker on front, it is front laminated and has INC. on the back.
In the dead wax: hand-etched ""ear"" or ""P"" symbol for Plastylite, stamped RVG and STEREO.",Jazz,May 1959,"Hard Bop, Soul-Jazz","Rated 4.68 of 50 votes (262 have, 865 want)",Mint (M),Sleeve: Mint (M),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$700.00
Donald Byrd – At The Half Note Cafe (Volume 1),"Blue Note – 4060, Blue Note – BLP 4060",US,"Vinyl, LP, Album, Repress, Mono","47 West 63rd NYC labels, Plastylite ""P"" & RVG in the runout, non deep groove pressing. Recorded live at the Half Note Cafe, New York City on November 11, 1960.",Jazz,Jul 1961,Hard Bop,"Rated 4.53 of 19 votes (132 have, 161 want)",Mint (M),Sleeve: Mint (M),100.0%,Half Note,Plastylite,$600.00
Hank Mobley – Hank Mobley And His All Stars,Blue Note – BLP 1544,US,"Vinyl, LP, Album, Mono","Recorded on January 13, 1957.

Milt Jackson performs by courtesy of Atlantic Recording Corp.

The 1st original mono issue has:
- blue and white Blue Note Records - 47 West 63rd - New York 23 address on deep grooved labels (no ""Inc"" no ®),
- RVG etched and P (wrongly called ""ear"") for Plastylite plant in the dead wax, both sides,
- flat edge vinyl,
- Blue Note Records, 47 West 63rd St., New York 23 address on back-cover (no ""Inc.""),
- framed non laminated cover,
- blank spine",Jazz,Mar 1957,Hard Bop,"Rated 4.26 of 19 votes (92 have, 337 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,500.00"
The Miles Davis Quintet – Relaxin' With The Miles Davis Quintet,Prestige – PRLP 7129,US,"Vinyl, LP, Album, Mono, 1st Pressing","Recorded on May 11, 1956 and October 23, 1956
This edition features the earlier 446 W. 50th ST., N.Y.C. “Fireworks” Label, therefore it would pre-date subsequent Bergenfield label pressings.",Jazz,1958,Hard Bop,"Rated 4.46 of 39 votes (368 have, 745 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$900.00
Sonny Rollins Quintet – Plays,Period Records – SPL 1204,US,"Vinyl, LP, Album, Mono","Recorded Nov 4, 1957 in New York. Original mono pressing. Deep Groove
Cat# on Center Labels: SPL 1204
Sonny Rollins quintet only plays on Side A, recorded 4th Nov. 1957.
Thad Jones leads a quintet and sextet on Side B, recorded 24th Dec. 1956 and 6th Jan. 1957.
All this information can be seen on the back cover.",Jazz,1956,"Hard Bop, Bop","Rated 4.00 of 3 votes (22 have, 126 want)",Very Good (VG),Sleeve: Good Plus (G+),99.3%,nan,nan,$800.00
Dizzy Reece – Asia Minor,"New Jazz – NJ 8274, New Jazz – NJLP 8274",US,"Vinyl, LP, Album, Mono","Recorded in Englewood Cliffs, New Jersey; March 13, 1962

New Jazz Records, 230 So. Washington Ave., Bergenfield, N.J.",Jazz,1962,Hard Bop,"Rated 4.17 of 6 votes (44 have, 213 want)",Mint (M),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$700.00
Sonny Rollins Quartet – Tenor Madness,Prestige – PRLP 7047,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; May 24, 1956.
446 W. 50th St., N.Y.C. address on labels.
Deep groove both sides.
RVG etched both sides.",Jazz,Nov 1956,"Bop, Hard Bop","Rated 4.42 of 26 votes (181 have, 338 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$700.00
Donald Byrd – Byrd In Paris,Signature (4) – SM 1039,US,"Vinyl, LP, Album, Mono","a l`Olympia, le 22 octobre 1958",Jazz,1960,Hard Bop,"Rated 5.00 of 1 votes (7 have, 92 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),95.2%,nan,nan,$650.00
Art Farmer – Farmer's Market,"Prestige – 8203, Prestige – PRLP 8203",US,"Vinyl, LP, Album, Mono","Recorded on November 23, 1956.",Jazz,1958,Hard Bop,"Rated 5.00 of 1 votes (27 have, 119 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$600.00
Blue Mitchell – Blue's Moods,Riverside Records – RLP 336,US,"Vinyl, LP, Album, Mono","Recorded at Plaza Sound Studios in New York City; August 24 and 25, 1960.",Jazz,1960,Hard Bop,"Rated 4.36 of 11 votes (80 have, 270 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,Plaza Sound Studios,nan,"$1,000.09"
