Label,Country,Genre,Release_Date,Style,fpress,spress,tpress,original,rare,dgroove,sealed,promo,xnotes,price,artist,album,reclabel,recyear,rating,votes,haves,wants,sleeve_cond_abbr,media_cond_abbr,seller_rating,media_cond_num,sleeve_cond_num
Blue Note – BLP 4063,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,1250.0,Kenny Dorham , Whistle Stop,Blue Note ,61,4.56,16.0,126.0,341.0,NM or M-,NM or M-,0.995,7,7
Blue Note – BLP 1567,US,Jazz,1957,Hard Bop,0,0,0,0,0,0,0,0,0,1400.0,Curtis Fuller , The Opener,Blue Note ,57,4.5,16.0,68.0,385.0,VG,VG+,1.0,6,5
Blue Note – BLP 4056,US,Jazz,1961,Hard Bop,1,0,1,0,0,1,0,0,1,999.99,Freddie Hubbard , Goin' Up,Blue Note ,61,4.56,18.0,104.0,356.0,NM or M-,NM or M-,1.0,7,7
"Blue Note – BLP 1595, Blue Note – 1595",US,Jazz,May 1958,"Bop, Hard Bop",1,0,0,1,0,1,0,0,1,645.62,Cannonball Adderley , Somethin' Else,Blue Note ,58,4.7,194.0,1087.0,1718.0,VG,VG,1.0,5,5
"Blue Note – 4003, Blue Note – BLP 4003",US,Jazz,Nov 1958,Hard Bop,1,1,1,1,0,1,0,0,1,799.99,Art Blakey And The Jazz Messengers* , Art Blakey And The Jazz Messengers,Blue Note ,58,4.6,156.0,878.0,1921.0,NM or M-,NM or M-,1.0,7,7
"Blue Note – BLP 1595, Blue Note – 1595",US,Jazz,May 1958,"Bop, Hard Bop",1,0,0,1,0,1,0,0,1,800.0,Cannonball Adderley , Somethin' Else,Blue Note ,58,4.7,194.0,1087.0,1718.0,VG+,VG+,1.0,6,6
Blue Note – BLP 4003,US,Jazz,1962,Hard Bop,1,0,1,0,0,0,0,0,1,985.0,Art Blakey And The Jazz Messengers* , Art Blakey And The Jazz Messengers,Blue Note ,62,4.84,19.0,133.0,326.0,NM or M-,NM or M-,1.0,7,7
Contemporary Records – M3530,US,Jazz,1959,Hard Bop,0,0,0,0,0,1,0,0,1,1000.0,Sonny Rollins , Way Out West,Contemporary Records ,59,4.82,11.0,76.0,172.0,NM or M-,NM or M-,1.0,7,7
Blue Note – BLP 4215,US,Jazz,1966,Hard Bop,1,0,0,0,0,0,0,0,1,1100.0,Jackie McLean , Right Now!,Blue Note ,66,4.45,22.0,122.0,246.0,NM or M-,M,0.997,8,7
Prestige – PRLP 7090,US,Jazz,May 1957,Hard Bop,1,0,0,0,0,0,0,0,1,1200.0,Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman , Mal-1,Prestige ,57,4.67,12.0,53.0,204.0,VG,VG+,1.0,6,5
Prestige Swingville – SVLP 2016,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,666.0,"Coleman Hawkins With Eddie ""Lockjaw"" Davis ", Night Hawk,Prestige Swingville ,61,4.31,13.0,72.0,95.0,NM or M-,VG+,0.9940000000000001,6,7
Prestige – PRLP 7090,US,Jazz,May 1957,Hard Bop,1,0,0,0,0,0,0,0,1,795.0,Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman , Mal-1,Prestige ,57,4.67,12.0,53.0,204.0,VG+,VG,1.0,5,6
Prestige – PRESTIGE 3,US,Jazz,1957,"Cool Jazz, Hard Bop",1,1,1,0,0,0,0,0,1,1623.89,Miles Davis , Miles Davis And The Modern Jazz Giants,Prestige ,57,4.5,6.0,24.0,124.0,VG+,NM or M-,1.0,7,6
Blue Note – BLP 4140,US,Jazz,1963,Hard Bop,1,0,0,1,0,1,0,0,1,1500.0,Joe Henderson , Page One,Blue Note ,63,4.61,33.0,142.0,738.0,NM or M-,NM or M-,1.0,7,7
Blue Note – BLP 4048,US,Jazz,1960,"Hard Bop, Latin Jazz",0,0,1,0,0,0,0,0,1,1050.0,Donald Byrd , Byrd In Flight,Blue Note ,60,4.5,28.0,143.0,554.0,NM or M-,VG+,0.996,6,7
Jazz Line (2) – JAZ-33-01,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,849.99,The Dave Bailey Sextet , Bash!,Jazz Line (2) ,61,4.67,3.0,40.0,133.0,VG+,VG+,0.996,6,6
Blue Note – BST 4003,US,Jazz,May 1959,"Hard Bop, Soul-Jazz",1,0,1,1,0,1,0,0,1,700.0,Art Blakey And The Jazz Messengers* , Art Blakey And The Jazz Messengers,Blue Note ,59,4.68,50.0,262.0,865.0,M,M,1.0,8,8
"Blue Note – 4060, Blue Note – BLP 4060",US,Jazz,Jul 1961,Hard Bop,0,0,1,0,0,1,0,0,1,600.0,Donald Byrd , At The Half Note Cafe (Volume 1),Blue Note ,61,4.53,19.0,132.0,161.0,M,M,1.0,8,8
Blue Note – BLP 1544,US,Jazz,Mar 1957,Hard Bop,1,0,1,1,0,1,0,0,1,1500.0,Hank Mobley , Hank Mobley And His All Stars,Blue Note ,57,4.26,19.0,92.0,337.0,VG+,VG+,1.0,6,6
Prestige – PRLP 7129,US,Jazz,1958,Hard Bop,0,0,0,0,0,0,0,0,0,900.0,The Miles Davis Quintet , Relaxin' With The Miles Davis Quintet,Prestige ,58,4.46,39.0,368.0,745.0,VG+,NM or M-,0.997,7,6
Period Records – SPL 1204,US,Jazz,1956,"Hard Bop, Bop",0,0,0,1,0,1,0,0,1,800.0,Sonny Rollins Quintet , Plays,Period Records ,56,4.0,3.0,22.0,126.0,G+,VG,0.993,5,4
"New Jazz – NJ 8274, New Jazz – NJLP 8274",US,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,700.0,Dizzy Reece , Asia Minor,New Jazz ,62,4.17,6.0,44.0,213.0,VG+,M,1.0,8,6
Prestige – PRLP 7047,US,Jazz,Nov 1956,"Bop, Hard Bop",0,0,0,0,0,1,0,0,1,700.0,Sonny Rollins Quartet , Tenor Madness,Prestige ,56,4.42,26.0,181.0,338.0,VG+,VG+,1.0,6,6
Signature (4) – SM 1039,US,Jazz,1960,Hard Bop,0,0,0,0,0,0,0,0,0,650.0,Donald Byrd , Byrd In Paris,Signature (4) ,60,5.0,1.0,7.0,92.0,VG+,NM or M-,0.9520000000000001,7,6
"Prestige – 8203, Prestige – PRLP 8203",US,Jazz,1958,Hard Bop,0,0,0,0,0,0,0,0,0,600.0,Art Farmer , Farmer's Market,Prestige ,58,5.0,1.0,27.0,119.0,VG,VG,1.0,5,5
Riverside Records – RLP 336,US,Jazz,1960,Hard Bop,0,0,0,0,0,0,0,0,0,1000.09,Blue Mitchell , Blue's Moods,Riverside Records ,60,4.36,11.0,80.0,270.0,VG+,VG+,0.9940000000000001,6,6
"Blue Note – BLP 1595, Blue Note – 1595",US,Jazz,May 1958,"Bop, Hard Bop",1,0,0,1,0,1,0,0,1,2000.0,Cannonball Adderley , Somethin' Else,Blue Note ,58,4.7,194.0,1087.0,1718.0,NM or M-,NM or M-,1.0,7,7
Blue Note – BST 81581,US,Jazz,1967,"Hard Bop, Bop",0,0,0,0,0,1,0,0,1,999.99,Sonny Rollins ," A Night At The ""Village Vanguard""",Blue Note ,67,4.75,4.0,10.0,34.0,VG+,VG+,1.0,6,6
Blue Note – BLP 4017,US,Jazz,Oct 1959,Hard Bop,0,0,1,0,0,1,0,0,1,1430.0,The Horace Silver Quintet & Trio* , Blowin' The Blues Away,Blue Note ,59,4.62,78.0,682.0,361.0,VG+,VG+,1.0,6,6
Blue Note – BLP 4163,US,Jazz,Aug 1964,"Hard Bop, Free Jazz, Modal, Post Bop",1,0,0,0,0,1,0,0,1,1500.0,Eric Dolphy , Out To Lunch!,Blue Note ,64,4.82,71.0,332.0,998.0,VG+,NM or M-,1.0,7,6
Blue Note – BST 84245,US,Jazz,1967,Hard Bop,0,0,0,0,0,0,0,0,0,1485.0,Art Blakey & The Jazz Messengers , Like Someone In Love,Blue Note ,67,5.0,4.0,24.0,39.0,NM or M-,NM or M-,1.0,7,7
Prestige – prLP 186,US,Jazz,1954,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,669.99,Sonny Rollins Quintet Featuring Kenny Dorham , Sonny Rollins Quintet,Prestige ,54,5.0,1.0,18.0,91.0,VG,VG+,1.0,6,5
Blue Note – BLP 4023,US,Jazz,1959,Hard Bop,0,0,0,0,0,0,0,0,0,1000.0,Dizzy Reece , Star Bright,Blue Note ,59,4.71,14.0,92.0,255.0,VG+,VG,1.0,5,6
Blue Note – BLP 1549,US,Jazz,1958,Hard Bop,0,1,1,0,0,1,0,0,1,2799.95,Cliff Jordan* & John Gilmore , Blowing In From Chicago,Blue Note ,58,5.0,1.0,5.0,45.0,VG+,NM or M-,0.988,7,6
Blue Note – BLP 4023,US,Jazz,1959,Hard Bop,0,0,0,0,0,0,0,0,0,850.0,Dizzy Reece , Star Bright,Blue Note ,59,4.71,14.0,92.0,255.0,VG+,VG,0.9940000000000001,5,6
Blue Note – BLP 1539,US,Jazz,1957,Hard Bop,1,0,1,0,0,1,0,0,1,600.0,The Horace Silver Quintet , 6 Pieces Of Silver,Blue Note ,57,4.62,26.0,228.0,158.0,VG+,NM or M-,1.0,7,6
Pacific Jazz – PJ-81,US,"Jazz, Funk / Soul",1963,"Soul-Jazz, Hard Bop",0,0,0,1,1,0,1,1,1,1520.0,Les McCann & The Jazz Crusaders* , Jazz Waltz,Pacific Jazz ,63,4.0,2.0,52.0,67.0,VG,NM or M-,0.993,7,5
Blue Note – BLP 4006,US,Jazz,1958,Hard Bop,0,0,0,0,0,0,0,0,0,999.99,Dizzy Reece , Blues In Trinity,Blue Note ,58,4.33,15.0,55.0,281.0,VG+,VG+,0.997,6,6
"Blue Note – BLP 1595, Blue Note – 1595",US,Jazz,May 1958,"Bop, Hard Bop",1,0,0,1,0,1,0,0,1,750.0,Cannonball Adderley , Somethin' Else,Blue Note ,58,4.7,194.0,1087.0,1718.0,VG+,VG+,1.0,6,6
Prestige – LP 7058,US,Jazz,1958,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,1500.0,Sonny Rollins , Moving Out,Prestige ,58,4.25,4.0,32.0,69.0,NM or M-,NM or M-,1.0,7,7
"Blue Note – 1577, Blue Note – BLP 1577",US,Jazz,1958,Hard Bop,1,1,1,0,0,1,0,0,1,750.0,John Coltrane , Blue Train,Blue Note ,58,4.93,15.0,72.0,618.0,G+,VG,1.0,5,4
"Blue Note – BLP 1595, Blue Note – 1595",US,Jazz,May 1958,"Bop, Hard Bop",1,0,0,1,0,1,0,0,1,850.0,Cannonball Adderley , Somethin' Else,Blue Note ,58,4.7,194.0,1087.0,1718.0,NM or M-,VG+,0.9940000000000001,6,7
Blue Note – BLP 4147,US,Jazz,1964,"Free Improvisation, Hard Bop, Modal",1,0,0,1,0,1,0,0,1,850.0,Herbie Hancock , Inventions And Dimensions,Blue Note ,64,4.52,42.0,169.0,829.0,VG+,VG+,1.0,6,6
Prestige – PRLP 7095,US,Jazz,1956,Hard Bop,0,0,0,0,0,0,0,0,0,700.0,Sonny Rollins Quintet With Kenny Dorham And Max Roach , Rollins Plays For Bird,Prestige ,56,4.63,19.0,132.0,243.0,VG+,NM or M-,1.0,7,6
Jazz Line (2) – JAZ-33-01,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,1599.99,The Dave Bailey Sextet , Bash!,Jazz Line (2) ,61,4.67,3.0,40.0,133.0,VG,NM or M-,1.0,7,5
"Blue Note – 1577, Blue Note – BLP 1577",US,Jazz,1958,Hard Bop,1,1,1,0,0,1,0,0,1,900.0,John Coltrane , Blue Train,Blue Note ,58,4.93,15.0,72.0,618.0,VG+,VG+,0.997,6,6
"Blue Note – BLP 1595, Blue Note – 1595",US,Jazz,May 1958,"Bop, Hard Bop",1,0,0,1,0,1,0,0,1,995.0,Cannonball Adderley , Somethin' Else,Blue Note ,58,4.7,194.0,1087.0,1718.0,NM or M-,VG+,0.995,6,7
Blue Note – BLP 4023,US,Jazz,1959,Hard Bop,0,0,0,0,0,0,0,0,0,1200.0,Dizzy Reece , Star Bright,Blue Note ,59,4.71,14.0,92.0,255.0,VG+,VG+,0.995,6,6
Blue Note – BLP 1572,US,Jazz,1957,"Hard Bop, Cool Jazz",1,0,0,0,0,1,0,0,1,1200.0,Curtis Fuller , Bone & Bari,Blue Note ,57,4.61,18.0,55.0,275.0,VG,VG+,1.0,6,5
Blue Note – BLP 4032,US,Jazz,1960,Hard Bop,1,0,1,0,0,1,0,0,1,1000.0,Sonny Red , Out Of The Blue,Blue Note ,60,4.31,13.0,72.0,277.0,VG+,VG+,1.0,6,6
Blue Note – BLP 1521,US,Jazz,Jul 1956,Hard Bop,1,0,0,1,0,1,0,0,1,775.0,Art Blakey Quintet ," A Night At Birdland, Volume 1",Blue Note ,56,4.6,20.0,149.0,365.0,VG+,VG+,1.0,6,6
Prestige – 7118,US,Jazz,1957,Hard Bop,0,0,0,0,0,0,0,0,0,666.0,Thad Jones / Kenny Burrell / Frank Wess / Mal Waldron / Paul Chambers (3) / Arthur Taylor* , After Hours,Prestige ,57,4.55,11.0,64.0,317.0,NM or M-,VG+,0.9940000000000001,6,7
Blue Note – BLP 4045,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,1500.0,Freddie Redd Quintet , Shades Of Redd,Blue Note ,61,4.33,15.0,77.0,276.0,VG+,NM or M-,0.9440000000000001,7,6
Blue Note – BLP 1549,US,Jazz,May 1957,Hard Bop,1,0,1,1,0,1,0,0,1,2250.0,Cliff Jordan* & John Gilmore , Blowing In From Chicago,Blue Note ,57,4.76,17.0,84.0,495.0,VG,NM or M-,1.0,7,5
Prestige – PRLP 7181,US,Jazz,Oct 1960,Hard Bop,1,0,0,0,0,1,0,0,1,750.0,The Red Garland Quintet Featuring John Coltrane And Donald Byrd , Soul Junction,Prestige ,60,4.28,32.0,218.0,363.0,NM or M-,NM or M-,1.0,7,7
Blue Note – BLP 4221,US,Jazz,1966,"Avant-garde Jazz, Hard Bop, Post Bop",0,0,0,0,0,0,0,0,0,701.0,Larry Young , Unity,Blue Note ,66,4.67,30.0,143.0,605.0,NM or M-,NM or M-,1.0,7,7
Blue Note – BLP 1578,US,Jazz,1958,Hard Bop,1,0,1,0,0,1,0,0,1,1000.0,Lee Morgan , The Cooker,Blue Note ,58,4.54,24.0,137.0,652.0,VG+,VG,0.997,5,6
Blue Note – BLP 1523,US,"Jazz, Blues",1956,Hard Bop,1,0,0,1,0,1,0,0,1,700.0,Kenny Burrell , Introducing Kenny Burrell,Blue Note ,56,4.64,22.0,120.0,453.0,VG+,VG+,0.992,6,6
"Prestige – PR 7281, Prestige – PRST 7281",US,Jazz,1963,"Bop, Hard Bop",1,0,0,0,0,1,0,0,1,999.0,Miles Davis , Diggin' With The Miles Davis Sextet,Prestige ,63,4.0,1.0,27.0,54.0,VG+,VG+,1.0,6,6
Prestige – PRLP 7038,US,Jazz,1956,Hard Bop,1,0,0,0,0,1,0,0,1,889.0,Sonny Rollins , Plus 4,Prestige ,56,4.59,29.0,137.0,277.0,NM or M-,NM or M-,0.9990000000000001,7,7
"Blue Note – BLP 1595, Blue Note – 1595",US,Jazz,May 1958,"Bop, Hard Bop",0,0,0,0,0,1,0,0,1,1200.0,Cannonball Adderley , Somethin' Else,Blue Note ,58,0.0,0.0,7.0,74.0,NM or M-,NM or M-,1.0,7,7
"Bethlehem Records – BCP 6056, Bethlehem Records – 6056",US,Jazz,1961,Hard Bop,0,0,0,1,1,0,1,1,1,600.0,Pepper Adams , Motor City Scene,Bethlehem Records ,61,4.0,3.0,22.0,229.0,VG,VG,1.0,5,5
Blue Note – BLP 4169,US,Jazz,1966,Hard Bop,0,0,0,0,0,0,0,0,0,2000.0,Lee Morgan , Search For The New Land,Blue Note ,66,4.54,59.0,361.0,752.0,VG,VG+,1.0,6,5
Blue Note – BLP 4112,US,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,850.76,Dexter Gordon , Go!,Blue Note ,62,4.67,52.0,310.0,741.0,VG+,VG,1.0,5,6
Blue Note – BLP 1540,US,Jazz,1957,Hard Bop,0,0,0,0,0,0,0,0,0,1850.0,Hank Mobley With Donald Byrd And Lee Morgan , Hank Mobley With Donald Byrd And Lee Morgan,Blue Note ,57,4.57,14.0,65.0,524.0,VG,VG,1.0,5,5
"Blue Note – 1554, Blue Note – BLP 1554",US,"Jazz, Latin",May 1957,"Afro-Cuban Jazz, Hard Bop",1,0,1,1,0,1,0,0,1,650.0,Art Blakey , Orgy In Rhythm (Volume One),Blue Note ,57,4.1,31.0,254.0,342.0,VG,VG+,0.997,6,5
Blue Note – BST 84184,US,Jazz,1965,"Post Bop, Hard Bop",0,0,0,1,0,0,0,0,1,999.0,Sam Rivers , Fuchsia Swing Song,Blue Note ,65,4.58,19.0,110.0,322.0,NM or M-,NM or M-,1.0,7,7
Impulse! – A-77,US,Jazz,1965,"Free Jazz, Hard Bop, Modal",0,0,0,0,0,0,0,0,0,1500.0,John Coltrane , A Love Supreme,Impulse! ,65,4.68,205.0,1398.0,3685.0,VG+,VG,1.0,5,6
Blue Note – BLP 1567,US,Jazz,1957,Hard Bop,0,0,0,0,0,0,0,0,0,1400.0,Curtis Fuller , The Opener,Blue Note ,57,4.5,16.0,68.0,385.0,VG+,VG,0.971,5,6
Blue Note – BLP 1574,US,Jazz,Nov 1959,Hard Bop,1,0,1,1,0,1,0,0,1,1499.99,Hank Mobley - Lee Morgan , Peckin' Time,Blue Note ,59,4.5,18.0,68.0,482.0,VG,VG+,1.0,6,5
Blue Note – BLP 1558,US,Jazz,1958,Hard Bop,0,1,1,1,0,1,0,0,1,775.0,Sonny Rollins , Volume 2,Blue Note ,58,5.0,7.0,29.0,69.0,VG+,VG+,1.0,6,6
Polskie Nagrania Muza – L 0397,Poland,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,630.0,Jørgen Leth Quintet / Igor Čaplinski , Jazz Jamboree 1962 Vol.4,Polskie Nagrania Muza ,62,5.0,3.0,25.0,63.0,NM or M-,NM or M-,1.0,7,7
Teichiku Records – NL-3008,Japan,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,1000.0,Hideo Shiraki , In Fiesta,Teichiku Records ,61,4.67,3.0,5.0,172.0,G,G,1.0,3,3
Blue Note – BLP 4056,US,Jazz,1961,Hard Bop,1,0,1,0,0,1,0,0,1,643.81,Freddie Hubbard , Goin' Up,Blue Note ,61,4.56,18.0,104.0,356.0,VG,VG,1.0,5,5
Blue Note – BLP 1595,US,Jazz,1959,"Bop, Hard Bop",1,0,1,0,0,0,0,1,1,750.0,Cannonball Adderley , Somethin' Else,Blue Note ,59,4.92,12.0,99.0,389.0,VG+,VG+,1.0,6,6
"Prestige – 7123, Prestige – PRLP 7123",US,Jazz,1961,Hard Bop,0,0,0,0,0,1,0,0,1,500.0,John Coltrane With The Red Garland Trio , Traneing In,Prestige ,61,4.67,21.0,207.0,203.0,VG+,VG+,1.0,6,6
Blue Note – BLP 4051,US,Jazz,1967,Hard Bop,1,0,0,0,0,0,0,0,1,499.0,Jackie McLean , Jackie's Bag,Blue Note ,67,5.0,1.0,5.0,80.0,VG+,VG+,1.0,6,6
New Jazz – NJLP 8217,US,Jazz,1959,Hard Bop,0,0,0,0,0,0,0,0,0,420.0,"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman ", The Cats,New Jazz ,59,4.43,21.0,121.0,487.0,VG,VG,0.99,5,5
Stereo Records (4) – S7017,US,Jazz,1958,Hard Bop,1,0,0,0,0,0,0,0,1,419.99,Sonny Rollins , Way Out West,Stereo Records (4) ,58,4.75,16.0,80.0,240.0,VG+,NM or M-,1.0,7,6
"Blue Note – BST 1577, Blue Note – 1577",US,Jazz,Jun 1960,Hard Bop,1,0,1,0,0,1,0,0,1,499.99,John Coltrane , Blue Train,Blue Note ,60,4.87,15.0,106.0,706.0,VG+,VG+,1.0,6,6
Blue Note – BLP 4083,US,Jazz,Dec 1961,Hard Bop,0,0,0,0,0,0,0,0,0,528.49,Dexter Gordon , Dexter Calling . . .,Blue Note ,61,4.59,27.0,156.0,329.0,VG+,VG+,0.9990000000000001,6,6
Blue Note – BLP 4169,US,Jazz,1966,Hard Bop,0,0,0,0,0,0,0,0,0,400.0,Lee Morgan , Search For The New Land,Blue Note ,66,4.54,59.0,361.0,752.0,VG+,G,0.9940000000000001,3,6
Reprise Records – R-6180,US,"Jazz, Blues",1966,"Hard Bop, Easy Listening, Dixieland, Swing, Cool Jazz",0,0,0,0,0,0,0,1,1,559.0,"Benny Carter Featuring The Voices Of Sammy Davis, Jr.*, Louis Armstrong And Mel Tormé ", A Man Called Adam,Reprise Records ,66,4.0,2.0,14.0,12.0,VG+,NM or M-,1.0,7,6
Debut Records – DEB-120,US,Jazz,1955,Hard Bop,0,0,0,0,0,0,0,0,0,505.62,Miles Davis , Blue Moods,Debut Records ,55,4.24,25.0,147.0,574.0,G+,VG+,0.99,6,4
Riverside Records – RLP 12-320,US,Jazz,1960,Hard Bop,1,0,0,0,0,1,0,0,1,500.0,Wes Montgomery , The Incredible Jazz Guitar Of Wes Montgomery,Riverside Records ,60,4.53,40.0,261.0,595.0,VG+,VG+,1.0,6,6
"Prestige – 8253, New Jazz – 8253, New Jazz – NJLP 8253",US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,529.0,Jackie McLean , A Long Drink Of The Blues,Prestige ,61,4.4,15.0,67.0,174.0,VG+,NM or M-,1.0,7,6
Blue Note – BLP 4161,US,Jazz,1963,Hard Bop,0,0,0,0,0,0,0,0,0,418.59,George Braith , Soul Stream,Blue Note ,63,4.5,12.0,57.0,141.0,VG+,VG+,0.9990000000000001,6,6
Blue Note – BLP 4147,US,Jazz,1964,"Free Improvisation, Hard Bop, Modal",1,0,0,1,0,1,0,0,1,549.99,Herbie Hancock , Inventions And Dimensions,Blue Note ,64,4.52,42.0,169.0,829.0,VG,NM or M-,0.998,7,5
Blue Note – BLP 4023,US,Jazz,1959,Hard Bop,0,0,0,0,0,0,0,0,0,500.0,Dizzy Reece , Star Bright,Blue Note ,59,4.71,14.0,92.0,255.0,VG,VG,1.0,5,5
Blue Note – BLP 4001,US,Jazz,Jan 1959,Hard Bop,1,0,1,1,0,1,0,0,1,407.35,Sonny Rollins , Newk's Time,Blue Note ,59,4.64,33.0,243.0,416.0,G+,G+,1.0,4,4
"Blue Note – BLP 4026, Blue Note – 4026",US,Jazz,Jun 1960,Hard Bop,0,0,1,1,0,0,0,0,1,449.0,Donald Byrd , Fuego,Blue Note ,60,4.7,40.0,242.0,397.0,VG+,VG+,1.0,6,6
"Prestige – NJLP 8235, New Jazz – NJLP 8235",US,Jazz,1960,Hard Bop,0,0,0,0,0,0,0,0,0,599.99,Benny Golson , Gone With Golson,Prestige ,60,4.7,10.0,66.0,165.0,NM or M-,VG+,0.996,6,7
