Artist_Album,Label,Country,Format,Notes,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Mal Waldron Quintet Featuring Gigi Gryce And Idrees Sulieman – Mal-1,Prestige – PRLP 7090,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; November 9, 1956.

First pressing: W. 50th Street, N.Y.C. version.",Jazz,May 1957,Hard Bop,"Rated 4.67 of 12 votes (53 have, 203 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,200.00"
Charlie Parker – Charlie Parker No. 3,Dial Records (3) – 203,US,"Vinyl, LP, 10"", Album, Compilation","Compiles tracks from Dial 1015, 1019, 1021, 1024, 1032.
Microgroove LP, pressed on heavy thick material similar to shellac.

Dial Records 520 W. 50, N.Y. 19, N.Y.

Credited as -
Side A: Charlie Parker Quintet
Side B: Charlie Parker Sextet",Jazz,1949,Bop,"Rated 5.00 of 7 votes (35 have, 272 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,"$1,899.99"
Mankunku Quartet – Transcription Service,"South African Broadcasting Corporation – LT 8743, South African Broadcasting Corporation – LT 8744",South Africa,"Vinyl, LP, Transcription",nan,Jazz,1967,Cape Jazz,"Rated 5.00 of 2 votes (1 have, 73 want)",Very Good (VG),Sleeve: Generic,100.0%,nan,nan,"$2,999.00"
Miles Davis – Miles Davis And The Modern Jazz Giants,Prestige – PRESTIGE 3,US,"Vinyl, LP, 16 ⅔ RPM, Compilation","A1, B5: first released as Prestige PRLP 200 'Miles Davis All Stars, Vol. 2' (1955); A3, A4, B3, B4: first released as Prestige PRLP 187 'Miles Davis Quintet Featuring Sonny Rollins' (1954); A5, B6: first released as Prestige PRLP 196 'Miles Davis All Stars, Vol. 1' (1955); B1, B2: first released here and as part of Prestige PRLP 7109 'Bags Groove' (1957); A2: first released here.

Recorded at Rudy Van Gelder Studio, Hackensack, NJ, June 29, 1954 (A3, A4, B2 to B4) and December 24, 1954 (A1, A2, A5, B1, B5, B6) [jazzdisco.org].

First catalogue number on label, second and third on cover.",Jazz,1957,"Cool Jazz, Hard Bop","Rated 4.50 of 6 votes (24 have, 124 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.","$1,623.89"
The Scott Thomson Trio – At The Jolly Roger,Art Records (3) – ALP-74,US,"Vinyl, LP, Album","Produced by : Art Records Manufacturing Company, Fort Lauderdale, Florida 33310",Jazz,1968,,"No Rating Yet (6 have, 7 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.4%,nan,nan,"$1,500.00"
Marvin Peterson* And The Soulmasters – Marvin Peterson And The Soulmasters In Concert,Century Records (4) – 32768,US,"Vinyl, LP, Stereo","Recorded in concert live at the Burning Bush, Denton, Texas, November 1968.","Jazz, Funk / Soul",1969,Funk,"Rated 4.73 of 15 votes (21 have, 599 want)",Very Good (VG),Sleeve: Very Good (VG),99.6%,The Burning Bush,nan,"$2,200.00"
Gil Melle* – Patterns In Jazz,Blue Note – BLP 1517,US,"Vinyl, LP, Mono","Recorded on April 1, 1956.",Jazz,1956,,"Rated 4.67 of 9 votes (40 have, 347 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),98.8%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,999.95"
Billy Ward And His Dominoes – Billy Ward And His Dominoes Featuring Clyde McPhatter,Federal (5) – 548,US,"Vinyl, LP, Album",nan,"Jazz, Rock",1956,"Rhythm & Blues, Doo Wop","Rated 4.40 of 5 votes (21 have, 91 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,nan,nan,"$1,500.00"
Tina Brooks – True Blue,Blue Note – BLP 4041,US,"Vinyl, LP, Album, Mono","Sam Jones performs courtesy of Riverside Recordings.

Recorded on June 25, 1960.

RVG",Jazz,1960,Hard Bop,"Rated 4.58 of 33 votes (91 have, 685 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$5,000.00"
Joe Henderson – Page One,Blue Note – BLP 4140,US,"Vinyl, LP, Album, Mono","Genuine, true first mono pressings can be determined by the following details:

NEW YORK USA address on both labels
The label paper has no 'deep groove' stamped in it on either side
Address at bottom of back cover reads '43 West 61st St., New York 23'
Deadwax area carries the Plastylite ""ear"" (aka the pretzel shaped hand etched ""P"") [pressing plant]
Deadwax area carries the VAN GELDER stamp; the cat.nr. is hand etched
Front cover is laminated [see image section for all these details]

Versions that do not carry the Plastylite ""ear"" (aka the pretzel shaped, etched ""P"") are all reissues, released after Liberty Records bought the Blue Note label and are not first pressings. These and the above details courtesy of the ""Blue Note Records Guide For Identifying Original Pressings"", written by Frederick Cohen from Jazz Record Center, New York.

McCoy Tyner performs by courtesy of Impulse Records.

Recorded on June 3, 1963.",Jazz,1963,Hard Bop,"Rated 4.61 of 33 votes (142 have, 739 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,500.00"
Carl Stevens & His Orchestra – The High Society Twist,Philips – SM-7021,Japan,"Vinyl, LP, Stereo",MANUFACTURED BY VICTOR COMPANY OF JAPAN L.T.D. YOKOHAMA,"Jazz, Pop",1962,Twist,"No Rating Yet (0 have, 0 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),85.1%,nan,nan,"$2,000.00"
Charlie Parker – Charlie Parker No. 2,Dial Records (3) – 202,US,"Vinyl, LP, 10"", Album, Compilation","Compiles tracks from Dial 1013, 1014, 1015, 1030.

Microgroove LP, pressed on heavy thick material similar to shellac.

Dial Records 520 W. 50, N.Y. 19, N.Y.

Credited as -
Side A: Charlie Parker All-Stars
Side B: Charlie Parker Quartet",Jazz,1949,Bop,"Rated 4.56 of 9 votes (36 have, 259 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,Plastylite,"$1,999.99"
Nat Wright – This Nearly Was Mine / Secret Love,Warwick – 649,US,"Vinyl, 7"", 45 RPM, Single",nan,"Jazz, Funk / Soul",1961,"Soul, Soul-Jazz","Rated 5.00 of 2 votes (7 have, 9 want)",Very Good (VG),Sleeve: Generic,100.0%,nan,nan,"$3,999.99"
Curtis Fuller – Volume 3,Blue Note – BLP 1583,US,"Vinyl, LP, Mono","Recorded on December 1, 1957.
The release of the album was originally planned for May 1958 but it was shelved until Dec 1960.

Art Farmer performs by couresy of ABC-Paramount.

-Record has a beaded rim.
-Deep groove on both sides.
-47 west 63rd address on both labels.
-Plastylite ""ear"" mark on run out on both sides. RVG stamped.
-Laminated cover with blank spine.
-Address on back cover is: Blue Note Records, 47 West 63rd St., New York 23",Jazz,Dec 1960,,"Rated 4.67 of 21 votes (76 have, 390 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,750.00"
John Coltrane – John Coltrane,"Impulse! – SR-3026-8, ABC Records – SR-3026-8",Japan,"3 × Vinyl, LP
Vinyl, 7"", 33 ⅓ RPM, Promo
Box Set, Compilation","3 xL P, 1 x 7"" housed in a thick Box. Comes with an lp sized booklet (16 pages) and individual, printed jackets for each vinyl.

Extremely long play time.",Jazz,1969,"Free Jazz, Post Bop, Modal","Rated 4.50 of 2 votes (19 have, 72 want)",Mint (M),Sleeve: Mint (M),100.0%,nan,nan,"$1,500.00"
Hank Mobley – Hank Mobley And His All Stars,Blue Note – BLP 1544,US,"Vinyl, LP, Album, Mono","Recorded on January 13, 1957.

Milt Jackson performs by courtesy of Atlantic Recording Corp.

The 1st original mono issue has:
- blue and white Blue Note Records - 47 West 63rd - New York 23 address on deep grooved labels (no ""Inc"" no ®),
- RVG etched and P (wrongly called ""ear"") for Plastylite plant in the dead wax, both sides,
- flat edge vinyl,
- Blue Note Records, 47 West 63rd St., New York 23 address on back-cover (no ""Inc.""),
- framed non laminated cover,
- blank spine",Jazz,Mar 1957,Hard Bop,"Rated 4.26 of 19 votes (92 have, 337 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,500.00"
Billy Ward And His Dominoes – Billy Ward And His Dominoes Featuring Clyde McPhatter,Federal (5) – 548,US,"Vinyl, LP, Album",nan,"Jazz, Rock",1956,"Rhythm & Blues, Doo Wop","Rated 4.40 of 5 votes (21 have, 91 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,"$1,500.00"
Dinah Washington – Unforgettable,"Mercury – MG 20572, Mercury – MG-20572",US,"Vinyl, LP, Album, Mono",nan,Jazz,1961,Easy Listening,"Rated 3.96 of 25 votes (374 have, 31 want)",Near Mint (NM or M-),Sleeve: Good Plus (G+),100.0%,nan,nan,"$1,459.00"
Leonard Gaskin Dixielanders – Dixieland Hits Country & Western,"Swingville Records – SV 2040, Prestige Swingville – SVLP 2040",US,"Vinyl, LP, Album, Stereo","Matrix numbers ""SVST"" and ""Stereo"" are scratched out. It plays as Stereo, indicating the scratching are what it is, rather than what it isn't.",Jazz,1962,Dixieland,"No Rating Yet (7 have, 3 want)",Near Mint (NM or M-),Sleeve: Fair (F),99.0%,nan,nan,"$1,928.01"
J. C. Davis* – A New Day (Is Here at Last) / Circleville,New Day (3) – 1373,US,"Vinyl, 7"", 45 RPM",nan,"Jazz, Funk / Soul",1969,"Funk, Jazz-Funk","Rated 4.41 of 32 votes (19 have, 650 want)",Very Good Plus (VG+),Sleeve: Generic,100.0%,nan,Musicol,"$2,800.00"
Pinky Winters – Pinky,Vantage Records (2) – VLP-3,US,"Vinyl, LP, 10"", Mono","Recorded: 1954, Los Angeles, California.

* Zoot Sims, tenor sax
* Mary Hale, trumpet
* John Darman, trombone
* Ternig Inocencio, piano (except 14)
* Jim Wolf, bass
* Gerry Hales, drums
* Pinky Winters, piano (14 only)",Jazz,1954,,"Rated 4.00 of 4 votes (15 have, 68 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,"$1,499.99"
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono","This pressing has:
- W 63 street address and no ® and microgroove on the labels
- Deep groove on both sides.
- no Inc. in address on back cover.
-""P"", for Plastylite Recording plant etched.
- RVG stamped in the trail off, both sides.
- Address in back cover should be printed with Serif font as it is considered the first printing. (Fred Cohen's ""A guide for Identifying Original Pressings"" p105)

Miles Davis performs by courtesy of Columbia Records.
Hank Jones performs by courtesy of Capitol Records.
Recorded on March 9, 1958.",Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1087 have, 1719 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,Plastylite,"$2,000.00"
Horace Parlan – Us Three,Blue Note – BLP 4037,US,"Vinyl, LP, Album, Mono","Recorded on April 20, 1960.",Jazz,1960,Bop,"Rated 4.60 of 20 votes (69 have, 398 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.1%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,500.00"
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Blue Note – BLP 4017,US,"Vinyl, LP, Album, Mono, Microgroove","Recorded on August 29 (A1, B2) and 30 (A3, A4, B1) and September 13 (A2, B3), 1959.

Blue Mitchell performs by courtesy of Riverside Records.

RVG stamped and ""P"" etched for Plastylite, usually wrongly called ""ear"", in the run out grooves of both sides.

Deep grooved blue and white labels with ""Blue Note Records Inc • 47 West 63rd • NYC"" address, both sides.

Back cover reads ""47 West 63rd St., New York 23"".",Jazz,Oct 1959,Hard Bop,"Rated 4.62 of 78 votes (682 have, 362 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,430.00"
Charlie Rouse – Yeah!,Epic – LA 16012,US,"Vinyl, LP, Album, Mono",Stereo version has a catalog number BA 17012,Jazz,1961,Post Bop,"Rated 4.56 of 9 votes (43 have, 143 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,"$2,500.99"
Eric Dolphy – Out To Lunch!,Blue Note – BLP 4163,US,"Vinyl, Album, Mono, LP","Variant version of first US mono edition, identifiable by:
""EAR"" symbol & VAN GELDER stamped in the dead wax;
Deep groove side 1 only, heavy vinyl pressing; labels state: 33&1/3 microgroove Long Playing.
Blue Note address: 43 West 61st, New York 23 written on back cover and on inner sleeve with illustrated details of 72 other LP releases under the heading ""1939-1964 25 Years Blue Note The First Name In Jazz"".
Labels have ® beneath the “E” in “BLUE NOTE”.

Recorded on February 25, 1964.

Eric Dolphy performs by courtesy of FM Records.

Printed in U.S.A.

Tracks' duration not on release. Producer credit not on release.",Jazz,Aug 1964,"Hard Bop, Free Jazz, Modal, Post Bop","Rated 4.82 of 71 votes (332 have, 997 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$1,500.00"
Art Blakey & The Jazz Messengers – Like Someone In Love,Blue Note – BST 84245,US,"Vinyl, LP, Album, Reissue, Stereo","No Van Gelder stamp in runout

Publishers:
- A1: Burke & Van Heusen, Inc. - ASCAP
- A2: Blue Horizon Music, Inc. - BMI (sleeve), Blue Horizon Music - BMI (label)
- B1 to B3: Blue Horizon Music, Inc. - BMI (sleeve), nothing on label.",Jazz,1967,Hard Bop,"Rated 5.00 of 4 votes (24 have, 40 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,"$1,485.00"
Yiddish Soul Brother Amnon – Only Girl I Had / In New York City,Chess – 1990,US,"Vinyl, 7"", 45 RPM, Promo",nan,"Jazz, Funk / Soul, Blues",1967,"Soul, Rhythm & Blues, Soul-Jazz","Rated 4.56 of 9 votes (5 have, 127 want)",Very Good (VG),Sleeve: Very Good (VG),98.8%,nan,nan,"$2,100.00"
Horace Silver Quintet* With Unknown Artist – That Healin' Feelin' (The United States Of Mind / Phase 1),Blue Note – BST 84352,US,"Vinyl, LP, Album, Gatefold",nan,Jazz,1970,"Soul-Jazz, Modal","Rated 4.33 of 46 votes (418 have, 277 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,"$1,669.99"
Cliff Jordan* & John Gilmore – Blowing In From Chicago,Blue Note – BLP 1549,US,"Vinyl, LP, Album, Repress, Mono","Recorded on March 3, 1957.

2nd mono issue has:
- blue and white Blue Note Records - 47 West 63rd - New York 23 (or NYC) address on deep grooved labels (no ""Inc"" no ®),
- RVG etched and P (wrongly called ""ear"") for Plastylite plant in the dead wax, both sides,
- Blue Note Records, 47 West 63rd St., New York 23 address on back-cover (no ""Inc.""),
- blank spine,
- laminated cover",Jazz,1958,Hard Bop,"Rated 5.00 of 1 votes (5 have, 45 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.8%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$2,799.95"
Dinah Washington – Unforgettable,"Mercury – MG 20572, Mercury – MG-20572",US,"Vinyl, LP, Album, Mono",nan,Jazz,1961,Easy Listening,"Rated 3.96 of 25 votes (374 have, 31 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,"$1,249.99"
Les McCann & The Jazz Crusaders* – Jazz Waltz,Pacific Jazz – PJ-81,US,"Vinyl, LP, Album, Mono",nan,"Jazz, Funk / Soul",1963,"Soul-Jazz, Hard Bop","Rated 4.00 of 2 votes (52 have, 67 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),99.3%,nan,nan,"$1,520.00"
"Bill Evans Trio* With Scott LaFaro, Paul Motian – Waltz For Debby",Riverside Records – RLP 399,US,"Vinyl, LP, Album, Mono","Recorded 'live' at The Village Vanguard; New York; June 25, 1961.

Mastered by Plaza Sound Studios.

Produced by Bill Grauer Productions, Inc.

This recording is available in both Stereophonic (RLP 9399) and Monaural (RLP 399) form.",Jazz,1962,"Post Bop, Modal","Rated 4.78 of 50 votes (268 have, 1051 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Village Vanguard,nan,"$1,950.00"
Jerome Richardson – Roamin' With Richardson,"New Jazz – 8226, New Jazz – NJLP 8226",US,"Vinyl, LP, Album, Mono","Purple label with silver print, Bergenfield NJ address.",Jazz,1959,,"Rated 4.40 of 5 votes (29 have, 117 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,nan,nan,"$2,500.00"
Sonny Rollins – Moving Out,Prestige – LP 7058,US,"Vinyl, LP, Album, Repress, Mono","#A1-B1: Recorded August 18, 1954
#B2: Recorded October 25, 1954",Jazz,1958,"Bop, Hard Bop","Rated 4.25 of 4 votes (32 have, 69 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,"Abbey Record Manufacturing Co., Inc.","$1,500.00"
The Time Machine (6) – The Time Machine,"Kilmarnock – KIL-1071, Kilmarnock – KIL-2071, Kilmarnock – KIL 1071, Kilmarnock – KIL 2071",Canada,"2 × Vinyl, 7"", 45 RPM, Stereo","Cardboard pic sleeve double 7""

CAT# on sleeve : KIL-1071 / KIL-2071

CAT# on labels : KIL 1071 / KIL 2071
1A) Pub. - Feist Inc. (ASCAP)
1B) Pub. - Rideau Music (CAPAC)
2A) Pub. - Mutual Music Soc. (ASCAP)
2B) Pub. - Craymaster (CAPAC)
Kilmarnock Records registered - Montreal - New York
Made in Canada

Cover version :
1-B) of the 1941 song popularized by Glenn Miller.
2-A) of the 1941 song popularized by Glenn Miller.

No date on sleeve or vinyl.
Black stars surround ★title★ on label 1-A & 2-B.","Jazz, Rock",1967,"Jazz-Rock, Rhythm & Blues, Space-Age","No Rating Yet (8 have, 29 want)",Mint (M),Sleeve: Mint (M),98.6%,nan,nan,"$1,500.00"
Willie Bobo – Sunshine Superman / Sockit To Me,Verve Records – VK 10448,US,"Vinyl, 7"", 45 RPM","Publisher listed on A side as: Southern Music Publ. Co., Inc.

Label variation - Artist name in capital case.",Jazz,1966,Latin Jazz,"No Rating Yet (11 have, 10 want)",Very Good Plus (VG+),Sleeve: Generic,98.9%,nan,nan,"$1,499.00"
Billy Mure's Supersonic Guitars – Billy Mure's Supersonic Guitars In Hi-Fi,RCA Victor – LPM-1536,Canada,"Vinyl, LP, Album",nan,"Jazz, Rock",1957,,"Rated 5.00 of 2 votes (8 have, 4 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),97.4%,nan,nan,"$1,200.00"
Bent Axen/Bent Jædig 6-5-4-3 – Let's Keep The Message,Debut Records (3) – DEB 133,Denmark,"Vinyl, LP, Album","Recorded in Copenhagen, October 5 and 6, 1960",Jazz,1960,,"Rated 4.57 of 7 votes (24 have, 152 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.9%,Bigos Studio,nan,"$1,500.00"
